id,team,x,y,segment,name,location
87,LAA,161.8444192,169.3102366,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
88,LAA,162.986709,167.2286777,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
89,LAA,162.812989,166.6459868,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
90,LAA,162.4054057,165.2896,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
91,LAA,161.6990375,163.2907084,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
92,LAA,160.6289626,160.7805026,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
93,LAA,159.1302593,157.8901736,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
94,LAA,157.1380058,154.7509122,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
95,LAA,154.5872803,151.4939092,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
96,LAA,151.4131612,148.2503555,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
97,LAA,147.5507267,145.151442,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
98,LAA,142.935055,142.3283595,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
99,LAA,137.5012245,139.9122988,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
100,LAA,133.2,138.54,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
101,HOU,130.4205202,156.0660802,infield_inner,Minute Maid Park,"Houston, TX"
102,HOU,132.9909081,158.5736144,infield_inner,Minute Maid Park,"Houston, TX"
103,HOU,135.5612961,161.0811486,infield_inner,Minute Maid Park,"Houston, TX"
104,HOU,138.131684,163.5886828,infield_inner,Minute Maid Park,"Houston, TX"
105,HOU,140.702072,166.0962169,infield_inner,Minute Maid Park,"Houston, TX"
106,HOU,143.2724599,168.6037511,infield_inner,Minute Maid Park,"Houston, TX"
107,HOU,145.1724452,171.2801379,infield_inner,Minute Maid Park,"Houston, TX"
108,HOU,145.0737664,174.8372258,infield_inner,Minute Maid Park,"Houston, TX"
109,HOU,146.5850006,178.0588377,infield_inner,Minute Maid Park,"Houston, TX"
110,HOU,144.2592122,180.5796351,infield_inner,Minute Maid Park,"Houston, TX"
111,HOU,141.6880514,183.0863769,infield_inner,Minute Maid Park,"Houston, TX"
112,HOU,139.1168906,185.5931186,infield_inner,Minute Maid Park,"Houston, TX"
113,HOU,136.5457299,188.0998603,infield_inner,Minute Maid Park,"Houston, TX"
114,HOU,133.9745691,190.6066021,infield_inner,Minute Maid Park,"Houston, TX"
115,HOU,131.4034083,193.1133438,infield_inner,Minute Maid Park,"Houston, TX"
116,HOU,128.8322475,195.6200855,infield_inner,Minute Maid Park,"Houston, TX"
117,HOU,125.5233329,195.4583605,infield_inner,Minute Maid Park,"Houston, TX"
118,HOU,122.0083712,196.0433025,infield_inner,Minute Maid Park,"Houston, TX"
